cargo,dept,seats,party,votes
diputado,Amazonas,2,VOTOS EN BLANCO,26893
diputado,Amazonas,2,VOTOS NULOS,9312
diputado,Amazonas,2,FUERZA POPULAR,8578
diputado,Amazonas,2,AHORA NACIÓN - AN,3861
diputado,Amazonas,2,ALIANZA PARA EL PROGRESO,2132
diputado,Amazonas,2,PARTIDO DEMOCRÁTICO SOMOS PERÚ,2034
diputado,Amazonas,2,RENOVACIÓN POPULAR,1954
diputado,Amazonas,2,PARTIDO DEL BUEN GOBIERNO,1826
diputado,Amazonas,2,ALIANZA ELECTORAL VENCEREMOS,1718
diputado,Amazonas,2,PODEMOS PERÚ,1407
diputado,Amazonas,2,PARTIDO PAÍS PARA TODOS,919
diputado,Amazonas,2,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,819
diputado,Amazonas,2,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",781
diputado,Amazonas,2,PARTIDO POLÍTICO COOPERACIÓN POPULAR,701
diputado,Amazonas,2,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,484
diputado,Amazonas,2,PARTIDO POLÍTICO PERÚ PRIMERO,443
diputado,Amazonas,2,PARTIDO APRISTA PERUANO,403
diputado,Amazonas,2,PARTIDO PATRIÓTICO DEL PERÚ,355
diputado,Amazonas,2,PARTIDO FRENTE DE LA ESPERANZA 2021,334
diputado,Amazonas,2,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,260
diputado,Amazonas,2,PARTIDO DEMÓCRATA VERDE,248
diputado,Amazonas,2,PARTIDO MORADO,235
diputado,Amazonas,2,PARTIDO DEMÓCRATA UNIDO PERÚ,217
diputado,Amazonas,2,UN CAMINO DIFERENTE,191
diputado,Amazonas,2,PROGRESEMOS,145
diputado,Amazonas,2,PARTIDO DEMOCRATICO FEDERAL,127
diputado,Amazonas,2,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,124
diputado,Amazonas,2,LIBERTAD POPULAR,115
diputado,Amazonas,2,PARTIDO POLÍTICO PRIN,75
diputado,Amazonas,2,UNIDAD NACIONAL,72
diputado,Amazonas,2,FUERZA Y LIBERTAD,68
diputado,Amazonas,2,PERÚ MODERNO,33
diputado,Áncash,5,VOTOS EN BLANCO,25643
diputado,Áncash,5,VOTOS NULOS,21862
diputado,Áncash,5,JUNTOS POR EL PERÚ,18784
diputado,Áncash,5,FUERZA POPULAR,15570
diputado,Áncash,5,AHORA NACIÓN - AN,7488
diputado,Áncash,5,PARTIDO PAÍS PARA TODOS,7459
diputado,Áncash,5,PARTIDO CÍVICO OBRAS,7443
diputado,Áncash,5,PODEMOS PERÚ,5013
diputado,Áncash,5,PARTIDO DEMOCRÁTICO SOMOS PERÚ,4442
